idiom,idiom_token
not to put too fine a point on it,<BERTRAM:IDnottoputtoofineapointonitID>
give someone a piece of your mind,<BERTRAM:IDgivesomeoneapieceofyourmindID>
how's tricks?,<BERTRAM:IDhowstricksID>
work your fingers to the bone,<BERTRAM:IDworkyourfingerstotheboneID>
from the horse's mouth,<BERTRAM:IDfromthehorsesmouthID>
keep someone posted,<BERTRAM:IDkeepsomeonepostedID>
pull your weight,<BERTRAM:IDpullyourweightID>
rob Peter to pay Paul,<BERTRAM:IDrobpetertopaypaulID>
whistle in the dark,<BERTRAM:IDwhistleinthedarkID>
come down the pike,<BERTRAM:IDcomedownthepikeID>
drink like a fish,<BERTRAM:IDdrinklikeafishID>
shoot the breeze,<BERTRAM:IDshootthebreezeID>
keep your nose to the grindstone,<BERTRAM:IDkeepyournosetothegrindstoneID>
split hairs,<BERTRAM:IDsplithairsID>
five-finger discount,<BERTRAM:IDfivefingerdiscountID>
turn a trick,<BERTRAM:IDturnatrickID>
to the max,<BERTRAM:IDtothemaxID>
go halves,<BERTRAM:IDgohalvesID>
hedge your bets,<BERTRAM:IDhedgeyourbetsID>
under the rose,<BERTRAM:IDundertheroseID>
thin as a rake,<BERTRAM:IDthinasarakeID>
up to snuff,<BERTRAM:IDuptosnuffID>
come with the territory,<BERTRAM:IDcomewiththeterritoryID>
give someone enough rope,<BERTRAM:IDgivesomeoneenoughropeID>
come out of your shell,<BERTRAM:IDcomeoutofyourshellID>
in your sights,<BERTRAM:IDinyoursightsID>
handsome is as handsome does,<BERTRAM:IDhandsomeisashandsomedoesID>
on the knocker,<BERTRAM:IDontheknockerID>
thumb your nose at,<BERTRAM:IDthumbyournoseatID>
play possum,<BERTRAM:IDplaypossumID>
burn rubber,<BERTRAM:IDburnrubberID>
fish in troubled waters,<BERTRAM:IDfishintroubledwatersID>
make yourself scarce,<BERTRAM:IDmakeyourselfscarceID>
a little bird told me,<BERTRAM:IDalittlebirdtoldmeID>
have someone on toast,<BERTRAM:IDhavesomeoneontoastID>
raise Cain,<BERTRAM:IDraisecainID>
full of the joys of spring,<BERTRAM:IDfullofthejoysofspringID>
"day in, day out",<BERTRAM:IDdayindayoutID>
draw stumps,<BERTRAM:IDdrawstumpsID>
cook someone's goose,<BERTRAM:IDcooksomeonesgooseID>
dead as a dodo,<BERTRAM:IDdeadasadodoID>
use a sledgehammer to crack a nut,<BERTRAM:IDuseasledgehammertocrackanutID>
go down the pan,<BERTRAM:IDgodownthepanID>
go the extra mile,<BERTRAM:IDgotheextramileID>
start off on the right foot,<BERTRAM:IDstartoffontherightfootID>
shoot the bull,<BERTRAM:IDshootthebullID>
honours are even,<BERTRAM:IDhonoursareevenID>
fire in the belly,<BERTRAM:IDfireinthebellyID>
walk the talk,<BERTRAM:IDwalkthetalkID>
blood and thunder,<BERTRAM:IDbloodandthunderID>
pull up stakes,<BERTRAM:IDpullupstakesID>
time and tide wait for no man,<BERTRAM:IDtimeandtidewaitfornomanID>
take a hike,<BERTRAM:IDtakeahikeID>
roll up your sleeves,<BERTRAM:IDrollupyoursleevesID>
have the hots for,<BERTRAM:IDhavethehotsforID>
cut a rug,<BERTRAM:IDcutarugID>
hit someone for six,<BERTRAM:IDhitsomeoneforsixID>
last hurrah,<BERTRAM:IDlasthurrahID>
spit the dummy,<BERTRAM:IDspitthedummyID>
play silly buggers,<BERTRAM:IDplaysillybuggersID>
chase rainbows,<BERTRAM:IDchaserainbowsID>
too many chiefs and not enough Indians,<BERTRAM:IDtoomanychiefsandnotenoughindiansID>
drop like flies,<BERTRAM:IDdroplikefliesID>
put someone out to pasture,<BERTRAM:IDputsomeoneouttopastureID>
cool your heels,<BERTRAM:IDcoolyourheelsID>
all over the map,<BERTRAM:IDalloverthemapID>
every man jack,<BERTRAM:IDeverymanjackID>
warm the cockles of someone's heart,<BERTRAM:IDwarmthecocklesofsomeonesheartID>
kick against the pricks,<BERTRAM:IDkickagainstthepricksID>
"more haste, less speed",<BERTRAM:IDmorehastelessspeedID>
tickle the ivories,<BERTRAM:IDtickletheivoriesID>
tough titty,<BERTRAM:IDtoughtittyID>
boots and all,<BERTRAM:IDbootsandallID>
go Dutch,<BERTRAM:IDgodutchID>
hit the skids,<BERTRAM:IDhittheskidsID>
keep on trucking,<BERTRAM:IDkeepontruckingID>
by the skin of your teeth,<BERTRAM:IDbytheskinofyourteethID>
not bat an eye,<BERTRAM:IDnotbataneyeID>
shipshape and Bristol fashion,<BERTRAM:IDshipshapeandbristolfashionID>
put your shoulder to the wheel,<BERTRAM:IDputyourshouldertothewheelID>
come to a pretty pass,<BERTRAM:IDcometoaprettypassID>
give someone the runaround,<BERTRAM:IDgivesomeonetherunaroundID>
meet your maker,<BERTRAM:IDmeetyourmakerID>
circle the wagons,<BERTRAM:IDcirclethewagonsID>
get a rise out of,<BERTRAM:IDgetariseoutofID>
jump the track,<BERTRAM:IDjumpthetrackID>
keep your head above water,<BERTRAM:IDkeepyourheadabovewaterID>
whistle Dixie,<BERTRAM:IDwhistledixieID>
swim with the tide,<BERTRAM:IDswimwiththetideID>
make a night of it,<BERTRAM:IDmakeanightofitID>
draw a line in the sand,<BERTRAM:IDdrawalineinthesandID>
drown your sorrows,<BERTRAM:IDdrownyoursorrowsID>
carry a torch for,<BERTRAM:IDcarryatorchforID>
blow the lid off,<BERTRAM:IDblowthelidoffID>
could eat a horse,<BERTRAM:IDcouldeatahorseID>
drag your feet,<BERTRAM:IDdragyourfeetID>
top dollar,<BERTRAM:IDtopdollarID>
it's all Greek to me,<BERTRAM:IDitsallgreektomeID>
dot the i's and cross the t's,<BERTRAM:IDdottheisandcrossthetsID>
haul someone over the coals,<BERTRAM:IDhaulsomeoneoverthecoalsID>
go to the mat,<BERTRAM:IDgotothematID>
roll with the punches,<BERTRAM:IDrollwiththepunchesID>
separate the sheep from the goats,<BERTRAM:IDseparatethesheepfromthegoatsID>
put your heads together,<BERTRAM:IDputyourheadstogetherID>
speak of the devil,<BERTRAM:IDspeakofthedevilID>
have a tiger by the tail,<BERTRAM:IDhaveatigerbythetailID>
duke it out,<BERTRAM:IDdukeitoutID>
beard the lion in his den,<BERTRAM:IDbeardthelioninhisdenID>
along about,<BERTRAM:IDalongaboutID>
no peace for the wicked,<BERTRAM:IDnopeaceforthewickedID>
spare the rod and spoil the child,<BERTRAM:IDsparetherodandspoilthechildID>
out of whack,<BERTRAM:IDoutofwhackID>
arse about face,<BERTRAM:IDarseaboutfaceID>
lose your marbles,<BERTRAM:IDloseyourmarblesID>
lock the stable door after the horse has bolted,<BERTRAM:IDlockthestabledoorafterthehorsehasboltedID>
be all ears,<BERTRAM:IDbeallearsID>
let someone down gently,<BERTRAM:IDletsomeonedowngentlyID>
"waste not, want not",<BERTRAM:IDwastenotwantnotID>
it never rains but it pours,<BERTRAM:IDitneverrainsbutitpoursID>
lower your sights,<BERTRAM:IDloweryoursightsID>
on your soapbox,<BERTRAM:IDonyoursoapboxID>
something nasty in the woodshed,<BERTRAM:IDsomethingnastyinthewoodshedID>
rain cats and dogs,<BERTRAM:IDraincatsanddogsID>
bury your head in the sand,<BERTRAM:IDburyyourheadinthesandID>
put on the ritz,<BERTRAM:IDputontheritzID>
see which way the cat jumps,<BERTRAM:IDseewhichwaythecatjumpsID>
go through the mill,<BERTRAM:IDgothroughthemillID>
bedroom eyes,<BERTRAM:IDbedroomeyesID>
them's the breaks,<BERTRAM:IDthemsthebreaksID>
cop a plea,<BERTRAM:IDcopapleaID>
blow your own trumpet,<BERTRAM:IDblowyourowntrumpetID>
big girl's blouse,<BERTRAM:IDbiggirlsblouseID>
make money hand over fist,<BERTRAM:IDmakemoneyhandoverfistID>
hit the hay,<BERTRAM:IDhitthehayID>
have a bun in the oven,<BERTRAM:IDhaveabunintheovenID>
from stem to stern,<BERTRAM:IDfromstemtosternID>
throw your hat in the ring,<BERTRAM:IDthrowyourhatintheringID>
hang tough,<BERTRAM:IDhangtoughID>
seeing is believing,<BERTRAM:IDseeingisbelievingID>
have someone by the short and curlies,<BERTRAM:IDhavesomeonebytheshortandcurliesID>
smoke and mirrors,<BERTRAM:IDsmokeandmirrorsID>
push someone's buttons,<BERTRAM:IDpushsomeonesbuttonsID>
keep your eye on the ball,<BERTRAM:IDkeepyoureyeontheballID>
catch someone napping,<BERTRAM:IDcatchsomeonenappingID>
knock someone's block off,<BERTRAM:IDknocksomeonesblockoffID>
put the screws on,<BERTRAM:IDputthescrewsonID>
quiet as a mouse,<BERTRAM:IDquietasamouseID>
kill the fatted calf,<BERTRAM:IDkillthefattedcalfID>
spread yourself too thin,<BERTRAM:IDspreadyourselftoothinID>
before you can say knife,<BERTRAM:IDbeforeyoucansayknifeID>
beat the rap,<BERTRAM:IDbeattherapID>
what's your poison?,<BERTRAM:IDwhatsyourpoisonID>
practise what you preach,<BERTRAM:IDpractisewhatyoupreachID>
there's no fool like an old fool,<BERTRAM:IDtheresnofoollikeanoldfoolID>
top banana,<BERTRAM:IDtopbananaID>
all dressed up and nowhere to go,<BERTRAM:IDalldressedupandnowheretogoID>
keep your nose clean,<BERTRAM:IDkeepyournosecleanID>
ring off the hook,<BERTRAM:IDringoffthehookID>
